Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B006 - Support Services,Finance Support,01/08/2018,Cashbook August,"11,457.43",Revenue,Cambridgeshire County Council,Local Authority
B006 - Support Services,Brand Consultancy Support,01/08/2018,Cashbook August,"3,490.60",Revenue,Method Creative ,Marketing Company
B006 - Support Services,HR Consultancy,01/08/2018,Cashbook August,"31,921.17",Revenue,Korn Ferry Hay Group,Consultancy
B006 - Support Services,IT Support,01/08/2018,Cashbook August,"3,134.60",Revenue,Green Duck,IT
B006 - Support Services,Annual Subscription ,01/08/2018,Cashbook August,"6,000.00",Revenue,LEP Network,Membership Organisation
B006 - Support Services,Recruitment Support,01/08/2018,Cashbook August,"5,364.40",Revenue,OPUS LGSS,Recruitment Agency
B020 - Business ,Agri-tech claim,03/08/2018,Cashbook August,"2,252.57",Revenue,Agri-tech Claim Recipient,Grant Recipient 
B010 - Skills,Consultancy Support ,06/08/2018,Cashbook August,"4,200.00",Revenue,SP Advisory,Consultancy
B006 - Support Services,Staffing and other support costs,06/08/2018,Cashbook August,"1,344.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,06/08/2018,Cashbook August,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,06/08/2018,Cashbook August,"2,069.50",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,06/08/2018,Cashbook August,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B010 - Skills,Secondee Costs,06/08/2018,Cashbook August,"18,073.60",Revenue,Regeneris Consulting Ltd,Consultancy
B006 - Support Services,Recruitment Support,06/08/2018,Cashbook August,"12,000.00",Revenue,Senca Search Ltd,Recruitment Agency
B020 - Business ,Annual Software Licence,06/08/2018,Cashbook August,"1,242.00",Revenue,CRM Insights Ltd,IT Software
B015 - Corporate Overheads,Office Furniture ,06/08/2018,Cashbook August,"24,404.60",Revenue,Silverman's Office Furniture ,Office Furniture Supplier
B020 - Business ,Marketing Costs S2G ,06/08/2018,Cashbook August,"1,350.00",Revenue,Method Creative ,Marketing Company
B010 - Skills,Recruitment Support,06/08/2018,Cashbook August,"10,500.00",Revenue,Baltimore Consulting Ltd,Consultancy
B020 - Business ,Agri-tech consultancy support,06/08/2018,Cashbook August,562.5,Revenue,Hewdon Consulting Ltd,Consultancy
B017 - Strategic Planning ,Health & Social Care Project,10/08/2018,Cashbook August,"29,600.00",Revenue,Paraclete Partnership,Consultancy
B017 - Strategic Planning ,Health & Social Care Project,10/08/2018,Cashbook August,"34,800.00",Revenue,Paraclete Partnership,Consultancy
B001 - Mayor,Hire of Venue Mayor's Ball,13/08/2018,Cashbook August,"1,500.00",Revenue,Ely Cathedral,Venue
B006 - Support Services,Brand Consultancy Support,13/08/2018,Cashbook August,"1,000.00",Revenue,Method Creative ,Marketing Company
B015 - Corporate Overheads,Recruitment Support,13/08/2018,Cashbook August,"35,997.36",Revenue,The One Group ,Recruitment Agency
B017 - Strategic Planning,Consultancy support for Health & Social Care Proposal,13/08/2018,Cashbook August,"5,250.00",Revenue,JH Consultancy,Consultancy
B006 - Support Services,Staffing and other support costs,13/08/2018,Cashbook August,"2,368.40",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,13/08/2018,Cashbook August,"2,240.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Financial Consultancy ,13/08/2018,Cashbook August,"3,000.00",Revenue,Camdor Global Advisors Limited,Consultancy
B009 - New Homes and Communities,Financial Consultancy ,13/08/2018,Cashbook August,"12,000.00",Revenue,Camdor Global Advisors Limited,Consultancy
B020 - Business ,Agri-tech claim,13/08/2018,Cashbook August,"1,523.77",Revenue,Agri-tech Claim Recipient,Grant Recipient 
B020 - Business ,Agri-tech claim,13/08/2018,Cashbook August,"2,769.23",Revenue,Agri-tech Claim Recipient,Grant Recipient 
B020 - Business ,Agri-tech claim,13/08/2018,Cashbook August,"13,873.95",Revenue,Agri-tech Claim Recipient,Grant Recipient 
B017 - Strategic Planning,Growth Funds claim,13/08/2018,Cashbook August,"508,543.90",Capital,Peterborough City Council,Local Authority
B015 - Corporate Overheads,Barclaycard charge for July,16/08/2018,Cashbook August,"6,080.12",Revenue,Barclaycard ,Bank
B015 - Corporate Overheads,Lease Charge,16/08/2018,Cashbook August,"23,327.00",Revenue,Pinsent Masons,Legal
