Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B015 - Corporate Overheads,Land Registration,17/08/2018,Cashbook August,910,Revenue,Pinsent Masons,Legal
B020 - Business ,Agri-tech claim,13/08/2018,Cashbook August,"41,768.08",Revenue,Agri-tech Claim Recipient,Grant Recipient 
B001 - Mayor,Business Rates ,21/08/2018,Cashbook August,"4,749.04",Revenue,East Cambridgeshire District Council,Local Authority
B006 - Support Services,Consultancy Support,21/08/2018,Cashbook August,"12,410.55",Revenue,Inner Circle Consulting,Consultancy
B006 - Support Services,Consultancy Support,21/08/2018,Cashbook August,"46,266.45",Revenue,Inner Circle Consulting,Consultancy
B017 - Strategic Planning ,Health & Social Care Project,22/08/2018,Cashbook August,"35,200.00",Revenue,Paraclete Partnership,Consultancy
B017 - Strategic Planning ,Growth Funds claim,21/08/2018,Cashbook August,"265,059.79",Capital,Cambridge Regional College,Educational Establishment 
B009 - New Homes and Communities,Housing Infrastructure Fund Claim,21/08/2018,Cashbook August,"65,435.45",Capital,Cambridge City Council,Local Authority
B006 - Support Services,Staffing and other support costs,28/08/2018,Cashbook August,"2,480.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,28/08/2018,Cashbook August,"2,232.00",Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,28/08/2018,Cashbook August,620,Revenue,Sellick Partnership,Employment Agency
B006 - Support Services,Staffing and other support costs,28/08/2018,Cashbook August,"2,240.00",Revenue,Sellick Partnership,Employment Agency
B001 - Mayor,Room Hire for Brexit Mayoral Forum,28/08/2018,Cashbook August,952.5,Revenue,Trinity College Cambridge,Educational Establishment 
B010 - Skills,Consultancy Support ,28/08/2018,Cashbook August,"4,450.00",Revenue,Jacquie Chambers Consulting Ltd,Consultancy
