Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B006 - Support Services,ICT Support Charges 2017/18,09/04/2018,Cashbook April,"39,191.99",Revenue ,Huntingdon District Council,Local Authority
B006 - Support Services,Art & Design for CA Map,13/04/2018,Cashbook April,"1,500.00",Revenue ,Method Creative Ltd,Media Company
B010 - Skills,Secondee Costs,13/04/2018,Cashbook April,"10,992.84",Revenue ,Regeneris Consulting Limited,Consultancy
B015 - Corporate Overheads,Barclaycard charge for March,16/04/2018,Cashbook April,"2,479.40",Revenue ,Barclaycard,Bank
Corporate Investment,Covering LEP liabilities with transfer of business ,16/04/2018,Cashbook April,"6,650.00",Revenue ,GCGP LEP,Local Enterprise Partnership
Corporate Investment,Covering LEP liabilities with transfer of business ,19/04/2018,Cashbook April,"11,160.57",Revenue ,GCGP LEP,Local Enterprise Partnership
B009 - New Homes And Communities,Housing recharges April 17 - Jan 18,19/04/2018,Cashbook April,"181,900.76",Revenue ,South Cambs DC,Local Authority
B017 - Strategic Planning ,Support for Non-statutory Spatial plan - March 2018,24/04/2018,Cashbook April,"1,040.00",Revenue ,Cambridge Planning Services,Consultancy
B015 - Corporate Overheads,Media support for 2030 campaign,24/04/2018,Cashbook April,"1,950.00",Revenue ,PS Media,Consultancy
B006 - Support Services,Spatial Plan Brochure,24/04/2018,Cashbook April,"2,620.00",Revenue ,Adapt Design ,Media Company
B009 - New Homes And Communities,Housing Strategy Consultancy,24/04/2018,Cashbook April,"3,400.00",Revenue ,Campbell Tickell,Consultancy
B015 - Corporate Overheads,Recruitment costs- Advertising,24/04/2018,Cashbook April,"7,661.00",Revenue ,Campbell Tickell,Consultancy
B006 - Support Services,Insurance to 31 March 2018,25/04/2018,Cashbook April,"18,700.00",Revenue ,Zurich Municipal ,Insurance Providers 
