Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B006- Support Services,Agency Costs,03/12/2018,Cashbook December,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B010 - Skills,Consultancy Support,03/12/2018,Cashbook December,"£5,335.00",Revenue,JC Consultancy,Consultancy
B008 - Transport and Infrastructure,Consultancy Support,03/12/2018,Cashbook December,"£35,631.90",Revenue,"Steer, Davies & Gleave Ltd",Consultancy
B015 - Corporate Overheads,Conference Attendance Fee,03/12/2018,Cashbook December,£525.00,Revenue,Local Government Association,Local Government
B017 - Strategic Planning,Consultancy Support,03/12/2018,Cashbook December,"£13,000.00",Revenue,Heron Transformation Services,Consultancy
B014 - Staffing Costs,Secondment Fee,03/12/2018,Cashbook December,"£10,393.33",Revenue,East Cambridgeshire District Council,Local Authority
B014 - Staffing Costs,Secondment Fee,03/12/2018,Cashbook December,"£7,069.51",Revenue,East Cambridgeshire District Council,Local Authority
B009 - New Homes & Communities,Affordable Housing Grant,03/12/2018,Cashbook December,"£231,000.00",Capital,Hastoe Housing Association,Housing Association
B020 - Business,Agri-Tech Claim,03/12/2018,Cashbook December,"£25,035.35",Revenue,Agri-Tech Claim Recipient,Grant Recipient
B020 - Business,Agri-Tech Claim,03/12/2018,Cashbook December,"£31,685.55",Revenue,Agri-Tech Claim Recipient,Grant Recipient
B020 - Business,Agri-Tech Claim,03/12/2018,Cashbook December,"£1,686.06",Revenue,Agri-Tech Claim Recipient,Grant Recipient
B017 - Strategic Planning,Growth Funds Claim,03/12/2018,Cashbook December,"£303,438.76",Capital,Cambridge Regional College,Educational Establishment
B017 - Strategic Planning,Growth Funds Claim,03/12/2018,Cashbook December,"£45,867.23",Revenue,University Centre Peterborough,Educational Establishment
B008 - Transport and Infrastructure,Transport Grant,03/12/2018,Cashbook December,"£74,922.91",Capital,Fenland District Council,Local Authority
B008 - Transport and Infrastructure,Transport Grant,03/12/2018,Cashbook December,"£14,461.76",Capital,Fenland District Council,Local Authority
B020 - Business,Consultancy Support,10/12/2018,Cashbook December,£812.50,Revenue,Hewdon,Consultancy
B006- Support Services,Agency Costs,10/12/2018,Cashbook December,"£9,500.00",Revenue,Green Park,Employment Agency
B006- Support Services,Consultancy Support,10/12/2018,Cashbook December,"£2,000.00",Revenue,Verse One Ltd,Consultancy
B017 - Strategic Planning,Consultancy Support,10/12/2018,Cashbook December,"£5,812.50",Revenue,JH Consultancy,Consultancy
B015 - Corporate Overheads,Cleaning Services,10/12/2018,Cashbook December,"£1,509.84",Revenue,Silvertone Cleaning Co. Ltd,Cleaning Company
B020 - Business,Contribution to Local Council Conference,10/12/2018,Cashbook December,"£5,750.00",Revenue,Cambridgeshire Acre,Community Council
B006- Support Services,Agency Costs,10/12/2018,Cashbook December,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B015 - Corporate Overheads,Barclaycard Charge for November,17/12/2018,Cashbook December,"£2,280.16",Revenue,Barclaycard,Bank
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£12,705.00",Revenue,Solace,Employment Agency
B015 - Corporate Overheads,Office Telephone Costs,17/12/2018,Cashbook December,£592.14,Revenue,Bridge Fibre,Overheads
B020 - Business,Market Towns,17/12/2018,Cashbook December,"£15,000.00",Revenue,Cambridgeshire County Council,Local Authority
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£1,952.50",Revenue,Venn Group Ltd,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,103.75",Revenue,Venn Group Ltd,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,232.00",Revenue,Sellick Partnership,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,232.00",Revenue,Sellick Partnership,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,232.00",Revenue,Sellick Partnership,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B006- Support Services,Agency Costs,17/12/2018,Cashbook December,"£2,480.00",Revenue,Sellick Partnership,Employment Agency
B001 - Mayor,Office Rent,17/12/2018,Cashbook December,"£2,914.58",Revenue,East Cambridgeshire District Council,Local Authority
B015 - Corporate Overheads,Recruitment Costs,17/12/2018,Cashbook December,"£11,811.00",Revenue,Campbell Tickell Ltd,Recruitment Agency
B015 - Corporate Overheads,Office Rent,17/12/2018,Cashbook December,"£43,565.63",Revenue,Savills,Landlord
B006- Support Services,Consultancy Support,17/12/2018,Cashbook December,£675.00,Revenue,Frontroom Creative Ltd,Marketing Company
