Service Area Division,Purpose of Expenditure,Payment Date,Transaction Number,Amount in £,Capital or Revenue,Beneficiary,Merchant Category
B015 - Corporate Overheads,Reimbursement of Staffing & Payments made on behalf of CPCA,17/12/2018,Cashbook December,"£276,177.65",Revenue,Peterborough City Council,Local Authority
B015 - Corporate Overheads,Reimbursement of Staffing & Payments made on behalf of CPCA,17/12/2018,Cashbook December,"£87,900.00",Revenue,Peterborough City Council,Local Authority
B008 - Transport and Infrastructure,Payment relating to Ely North Junction,17/12/2018,Cashbook December,"£9,000.00",Revenue,New Anglia LEP ,Local Enterprise Partnership
B008 - Transport and Infrastructure,Transport Grant,17/12/2018,Cashbook December,"£54,351.30",Revenue,Peterborough City Council,Local Authority
B008 - Transport and Infrastructure,Transport Grant,17/12/2018,Cashbook December,"£329,615.74",Capital,Peterborough City Council,Local Authority
B009 - New Homes & Communities,Affordable Housing Grant,17/12/2018,Cashbook December,"£595,000.00",Capital,Cross Keys Homes,Housing Association
B017 - Strategic Planning,Growth Funds Claim,17/12/2018,Cashbook December,"£12,500.00",Revenue,Opportunity Peterborough,Economic Development Company
B017 - Strategic Planning,Growth Funds Claim,17/12/2018,Cashbook December,"£56,000.00",Revenue,Opportunity Peterborough,Economic Development Company
B017 - Strategic Planning,Consultancy Support,24/12/2018,Cashbook December,"£11,050.00",Revenue,Heron Transformation Services,Consultancy
B006- Support Services,Agency Costs,24/12/2018,Cashbook December,"£2,090.00",Revenue,Venn Group Ltd,Employment Agency
B006- Support Services,Agency Costs,24/12/2018,Cashbook December,"£9,240.00",Revenue,Green Park,Employment Agency
B006- Support Services,Agency Costs,24/12/2018,Cashbook December,"£9,240.00",Revenue,Green Park,Employment Agency
B006- Support Services,Audit Services,24/12/2018,Cashbook December,"£3,726.00",Revenue,Ernst & young,Auditors
B001 - Mayor,Office Rent,24/12/2018,Cashbook December,"£2,914.58",Revenue,East Cambridgeshire District Council,Local Authority
B014 - Staffing Costs,Secondment Fee,24/12/2018,Cashbook December,"£7,069.51",Revenue,East Cambridgeshire District Council,Local Authority
B015 - Corporate Overheads,Membership Fees,24/12/2018,Cashbook December,"£1,170.00",Revenue,One Nucleus,Membership Organisation
B015 - Corporate Overheads,Membership Fees,24/12/2018,Cashbook December,£660.00,Revenue,Cambridge Wireless,Membership Organisation
B006- Support Services,Agency Costs,24/12/2018,Cashbook December,"£2,240.00",Revenue,Sellick Partnership,Employment Agency
B014 - Staffing Costs,Secondment Fee,24/12/2018,Cashbook December,"£10,393.33",Revenue,East Cambridgeshire District Council,Local Authority
B020 - Business,Consultancy Support,24/12/2018,Cashbook December,"£15,000.00",Revenue,Cambridge Wireless,Consultancy
B006- Support Services,Democratic Services Support,24/12/2018,Cashbook December,"£52,450.00",Revenue,Cambridgeshire County Council,Local Authority
B006- Support Services,Democratic Services Support,24/12/2018,Cashbook December,"£5,650.56",Revenue,Cambridgeshire County Council,Local Authority
B015 - Corporate Overheads,Service Charge,24/12/2018,Cashbook December,"£11,171.20",Revenue,Savills,Landlord
B020 - Business,Consultancy Support,24/12/2018,Cashbook December,"£16,250.00",Revenue,Genecon Ltd,Consultancy
B020 - Business,Consultancy Support,24/12/2018,Cashbook December,"£12,600.00",Revenue,Hethal Innovation,Consultancy
B020 - Business,Agri-Tech Claim,24/12/2018,Cashbook December,"£3,535.10",Revenue,Agri-Tech Claim Recipient,Grant Recipient
B020 - Business,Agri-Tech Claim,24/12/2018,Cashbook December,"£7,451.43",Revenue,Agri-Tech Claim Recipient,Grant Recipient
B017 - Strategic Planning,Digital Connectivity Grant,24/12/2018,Cashbook December,"£131,250.00",Capital,Cambridgeshire County Council,Local Authority
